"filename", "language", "JSON", "XML", "Log", "C#", "comment", "blank", "total"
"/Users/arjunsharma/Desktop/ArjunSharmaFlappyBird/Assembly-CSharp.csproj", "XML", 0, 762, 0, 0, 7, 1, 770
"/Users/arjunsharma/Desktop/ArjunSharmaFlappyBird/Assets/Resources/BillingMode.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"/Users/arjunsharma/Desktop/ArjunSharmaFlappyBird/Assets/scripts/CountdownText.cs", "C#", 0, 0, 0, 23, 2, 12, 37
"/Users/arjunsharma/Desktop/ArjunSharmaFlappyBird/Assets/scripts/GameManager.cs", "C#", 0, 0, 0, 86, 2, 24, 112
"/Users/arjunsharma/Desktop/ArjunSharmaFlappyBird/Assets/scripts/HighscoreText.cs", "C#", 0, 0, 0, 12, 0, 4, 16
"/Users/arjunsharma/Desktop/ArjunSharmaFlappyBird/Assets/scripts/Parallaxer.cs", "C#", 0, 0, 0, 119, 1, 37, 157
"/Users/arjunsharma/Desktop/ArjunSharmaFlappyBird/Assets/scripts/TapController.cs", "C#", 0, 0, 0, 67, 2, 31, 100
"/Users/arjunsharma/Desktop/ArjunSharmaFlappyBird/Logs/Packages-Update.log", "Log", 0, 0, 49, 0, 0, 4, 53
"/Users/arjunsharma/Desktop/ArjunSharmaFlappyBird/Logs/shadercompiler-UnityShaderCompiler0.log", "Log", 0, 0, 2, 0, 0, 2, 4
"/Users/arjunsharma/Desktop/ArjunSharmaFlappyBird/Packages/manifest.json", "JSON", 49, 0, 0, 0, 0, 1, 50
"/Users/arjunsharma/Desktop/ArjunSharmaFlappyBird/Packages/packages-lock.json", "JSON", 410, 0, 0, 0, 0, 1, 411
"Total", "-", 460, 762, 51, 307, 14, 117, 1711
